Date,Customer,Country,Product,Business_Line,Sales_Amount,Sales_Amount_Target,Sales_Margin,Sales_Quantity
2011-09-07 00:00:00,Abhi,Brazil,S10_1678,Classic cars,5581,19559,52,21
2012-11-29 00:00:00,Ravi,India,S16_1683,Vintage cars,10737,21008,29,93
2007-11-27 00:00:00,Ravi,France,S10_1678,Classic cars,4483,22514,14,86
2010-08-19 00:00:00,Iliyaz,Germany,S14_1681,Trains,14800,11823,32,38
2005-07-25 00:00:00,Abhi,Switzerland,S14_1681,Trains,2594,22374,26,7
2011-07-05 00:00:00,Ramu,Canada,S16_1683,Vintage cars,13864,20926,55,63
2008-08-29 00:00:00,Shafi,Switzerland,S16_1683,Vintage cars,13719,22088,51,86
2016-10-10 00:00:00,Kishan,Netherlands,S14_1681,Trains,6240,9910,48,69
2007-04-01 00:00:00,Ramu,Netherlands,S10_1678,Classic cars,12544,7922,10,81
2016-02-19 00:00:00,Kiran,India,S15_1682,Truks And Buses,7546,22053,33,39
2006-07-29 00:00:00,Snidha,Germany,S13_1681,Ships,10857,12738,50,57
2010-02-16 00:00:00,Iliyaz,Netherlands,S11_1679,Motarcycles,9407,14477,32,14
2010-10-31 00:00:00,Mahesh,Australia,S16_1683,Vintage cars,4770,21427,29,9
2015-07-29 00:00:00,Vijay,Canada,S13_1681,Ships,12418,24281,51,8
2014-06-13 00:00:00,Raja,France,S13_1681,Ships,10174,7665,48,58
2015-03-26 00:00:00,Kalyan,Switzerland,S14_1681,Trains,8064,15955,52,25
2017-07-16 00:00:00,Shafi,Switzerland,S14_1681,Trains,7380,16060,23,45
2006-07-24 00:00:00,Praveen,Austria,S14_1681,Trains,7860,8503,23,40
2010-01-16 00:00:00,Vijay,India,S10_1678,Classic cars,3222,15325,41,87
2009-12-07 00:00:00,Kalyan,France,S13_1681,Ships,5778,11728,35,55
2009-11-29 00:00:00,Suban,Australia,S10_1678,Classic cars,13938,22327,41,19
2017-12-01 00:00:00,Kishan,France,S12_1680,Plans,10055,14720,50,37
2010-02-14 00:00:00,Praveen,Brazil,S11_1679,Motarcycles,13469,17906,30,79
2007-11-10 00:00:00,Praveen,Netherlands,S13_1681,Ships,11431,8717,31,77
2010-05-08 00:00:00,Kishan,Germany,S15_1682,Truks And Buses,3893,18296,42,7
2017-09-16 00:00:00,Kalyan,India,S16_1683,Vintage cars,12400,8022,23,56
2014-05-14 00:00:00,Vijay,Austria,S15_1682,Truks And Buses,9328,17671,44,77
2017-03-05 00:00:00,Ravi,India,S15_1682,Truks And Buses,13713,14524,39,94
2012-02-14 00:00:00,Kiran,Brazil,S16_1683,Vintage cars,7767,14660,46,41
2011-12-29 00:00:00,Mahesh,Brazil,S16_1683,Classic cars,7166,10586,32,9
2011-10-21 00:00:00,Kalyan,India,S15_1682,Vintage cars,9307,17338,10,30
2009-10-29 00:00:00,Snidha,Canada,S15_1682,Truks And Buses,3967,15499,11,62
2010-11-07 00:00:00,Kiran,Canada,S15_1682,Classic cars,7844,13015,18,50
2012-05-21 00:00:00,Praveen,India,S16_1683,Vintage cars,8542,15856,17,58
2011-12-17 00:00:00,Mahesh,Australia,S12_1680,Trains,8293,19011,18,19
2011-10-26 00:00:00,Snidha,France,S13_1681,Trains,7263,9247,36,71
2011-02-26 00:00:00,Iliyaz,Canada,S13_1681,Trains,9383,18004,46,66
2008-02-25 00:00:00,Kalyan,India,S13_1681,Trains,11592,18016,49,67
2010-06-04 00:00:00,Abhi,Canada,S15_1682,Plans,6243,9271,13,62
2011-12-07 00:00:00,Kalyan,Australia,S10_1678,Truks And Buses,4281,16521,47,31
2008-10-21 00:00:00,Kiran,Netherlands,S12_1680,Truks And Buses,7869,19310,44,51
2011-12-05 00:00:00,Snidha,Austria,S15_1682,Ships,4978,10850,18,21
2010-03-10 00:00:00,Snidha,Germany,S12_1680,Classic cars,6389,9611,29,49
2010-11-16 00:00:00,Praveen,Australia,S13_1681,Ships,5871,5239,41,44
2007-02-24 00:00:00,Raja,Germany,S16_1683,Ships,4430,5740,11,37
2006-02-15 00:00:00,Iliyaz,Brazil,S13_1681,Motarcycles,10703,19844,13,51
2011-08-01 00:00:00,Shafi,Brazil,S14_1681,Classic cars,8651,17180,41,41
2005-04-25 00:00:00,Ravi,Germany,S12_1680,Truks And Buses,3133,7097,47,52
2005-09-28 00:00:00,Iliyaz,Austria,S16_1683,Motarcycles,10065,19705,33,80
2012-02-16 00:00:00,Kishan,France,S14_1681,Classic cars,4625,16992,16,51
2011-09-20 00:00:00,Kalyan,France,S15_1682,Classic cars,11243,19770,11,13
2011-08-08 00:00:00,Kiran,Netherlands,S16_1683,Trains,8387,18860,37,25
2011-03-29 00:00:00,Abhi,Switzerland,S16_1683,Truks And Buses,11421,19341,18,7
2008-01-28 00:00:00,Praveen,Netherlands,S15_1682,Trains,5721,8395,15,78
2006-12-09 00:00:00,Suban,Austria,S10_1678,Trains,7984,5210,15,60
2009-09-13 00:00:00,Vijay,Netherlands,S11_1679,Motarcycles,3601,6213,19,56
2011-01-24 00:00:00,Mahesh,Austria,S15_1682,Motarcycles,9438,12534,41,18
2006-01-16 00:00:00,Kalyan,Australia,S12_1680,Plans,8838,7944,22,13
2012-10-25 00:00:00,Mahesh,France,S11_1679,Classic cars,9884,19806,44,31
2012-02-06 00:00:00,Kishan,Austria,S15_1682,Trains,9798,19049,50,79
2010-12-06 00:00:00,Vijay,France,S13_1681,Ships,6412,19931,15,7
2010-02-14 00:00:00,Shafi,Canada,S10_1678,Truks And Buses,10189,7528,20,53
2010-03-28 00:00:00,Snidha,India,S15_1682,Ships,10105,10714,12,71
2005-03-04 00:00:00,Raja,Australia,S14_1681,Classic cars,6441,8025,12,22
2012-12-27 00:00:00,Kishan,Brazil,S15_1682,Classic cars,3004,6927,47,22
2008-02-11 00:00:00,Iliyaz,Switzerland,S15_1682,Motarcycles,6516,16964,16,5
2006-02-17 00:00:00,Kalyan,Brazil,S10_1678,Classic cars,7563,7069,46,43
2006-12-27 00:00:00,Shafi,France,S13_1681,Motarcycles,5537,6301,17,77
2011-11-02 00:00:00,Abhi,Canada,S12_1680,Truks And Buses,9340,18434,45,44
2008-03-06 00:00:00,Raja,Brazil,S16_1683,Plans,11333,15880,13,43
2009-06-24 00:00:00,Snidha,Canada,S13_1681,Vintage cars,11977,11097,45,52
2008-11-15 00:00:00,Ramu,Austria,S11_1679,Truks And Buses,6916,15482,41,28
2007-10-20 00:00:00,Vijay,Switzerland,S11_1679,Truks And Buses,10029,5639,48,22
2009-05-20 00:00:00,Ravi,France,S11_1679,Motarcycles,3726,12452,19,38
2011-02-14 00:00:00,Ramu,Austria,S16_1683,Ships,7789,5506,14,16
2008-02-25 00:00:00,Iliyaz,India,S12_1680,Trains,10120,6128,16,70
2008-05-02 00:00:00,Vijay,Netherlands,S10_1678,Ships,7343,5767,10,70
2005-03-04 00:00:00,Abhi,Austria,S13_1681,Truks And Buses,4120,13857,24,13
2005-05-17 00:00:00,Suban,Australia,S14_1681,Plans,7271,11552,35,34
2010-01-06 00:00:00,Kishan,Australia,S13_1681,Vintage cars,6939,10504,15,63
2011-07-02 00:00:00,Snidha,Netherlands,S16_1683,Motarcycles,8796,16143,39,15
2008-04-16 00:00:00,Ramu,Germany,S15_1682,Truks And Buses,11113,16641,35,72
2009-10-04 00:00:00,Snidha,India,S12_1680,Motarcycles,4186,15089,34,69
2009-05-17 00:00:00,Kiran,Netherlands,S11_1679,Trains,8588,6180,27,67
2005-04-09 00:00:00,Kishan,India,S13_1681,Vintage cars,5969,14502,18,29
2010-05-22 00:00:00,Ravi,Switzerland,S11_1679,Motarcycles,4476,18696,22,14
2012-08-14 00:00:00,Shafi,Netherlands,S15_1682,Trains,6908,14931,50,66
2012-12-08 00:00:00,Praveen,Canada,S12_1680,Classic cars,3151,10055,14,23
2009-02-15 00:00:00,Shafi,Austria,S11_1679,Truks And Buses,9947,14959,44,32
2005-01-12 00:00:00,Abhi,Australia,S10_1678,Trains,8581,8681,25,71
2007-10-14 00:00:00,Shafi,India,S16_1683,Vintage cars,6124,13135,44,60
2010-08-07 00:00:00,Mahesh,Switzerland,S14_1681,Classic cars,3290,10091,39,22
2010-10-20 00:00:00,Vijay,Austria,S12_1680,Motarcycles,7842,18770,43,9
2010-10-02 00:00:00,Kiran,Switzerland,S13_1681,Motarcycles,9483,10730,16,31
2008-12-01 00:00:00,Vijay,Austria,S13_1681,Motarcycles,11685,13860,30,22
2012-09-11 00:00:00,Kiran,Canada,S13_1681,Ships,11156,13929,14,16
2007-09-04 00:00:00,Vijay,Germany,S12_1680,Truks And Buses,11636,7842,25,25
2008-12-02 00:00:00,Ravi,Switzerland,S12_1680,Motarcycles,6906,5515,16,42
2009-10-14 00:00:00,Kishan,Netherlands,S12_1680,Classic cars,11309,5391,47,77
